Getting Better	Getting Worse	Undecided	Staying the Same	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
25.0	25.0	13.0	36.0	yougov-economist-27828	YouGov/Economist	2017-06-11	2017-06-13		Adults	1500	3.1	Internet	Nonpartisan	None
24.0	28.0	16.0	32.0	yougov-economist-27791	YouGov/Economist	2017-06-04	2017-06-06		Adults	1500	3.2	Internet	Nonpartisan	None
26.0	29.0	14.0	31.0	yougov-economist-27758	YouGov/Economist	2017-05-27	2017-05-30		Adults	1500	3.1	Internet	Nonpartisan	None
25.0	26.0	15.0	34.0	yougov-economist-27725	YouGov/Economist	2017-05-20	2017-05-23		Adults	1500	3.0	Internet	Nonpartisan	None
40.0	15.0	5.0	40.0	arg-27715	ARG	2017-05-17	2017-05-20		Adults	1100	3.0	Live Phone	Nonpartisan	None
25.0	23.0	17.0	34.0	yougov-economist-27687	YouGov/Economist	2017-05-13	2017-05-16		Adults	1500	3.2	Internet	Nonpartisan	None
29.0	25.0	13.0	33.0	yougov-economist-27650	YouGov/Economist	2017-05-06	2017-05-09		Adults	1500	3.1	Internet	Nonpartisan	None
36.0	21.0	1.0	41.0	quinnipiac-27653	Quinnipiac	2017-05-04	2017-05-09	Do you think the nation's economy is getting better, getting worse, or staying about the same?	Registered Voters	1078	3.0	Live Phone	Nonpartisan	None
24.0	26.0	14.0	36.0	yougov-economist-27606	YouGov/Economist	2017-04-29	2017-05-02		Adults	1500	3.1	Internet	Nonpartisan	None
42.0	37.0	3.0	18.0	fox-27558	FOX	2017-04-23	2017-04-25		Registered Voters	1009	3.0	Live Phone	Nonpartisan	None
28.0	23.0	13.0	35.0	yougov-economist-27554	YouGov/Economist	2017-04-23	2017-04-25		Adults	1500	3.2	Internet	Nonpartisan	None
30.0	18.0	3.0	49.0	abc-post-27532	ABC/Post	2017-04-17	2017-04-20		Adults	1004	3.5	Live Phone	Nonpartisan	None
43.0	14.0	2.0	41.0	arg-27524	ARG	2017-04-17	2017-04-20		Adults	1100	3.0	Live Phone	Nonpartisan	None
25.0	26.0	15.0	34.0	yougov-economist-27504	YouGov/Economist	2017-04-15	2017-04-18		Adults	1500	3.1	Internet	Nonpartisan	None
34.0	16.0	2.0	49.0	quinnipiac-27516	Quinnipiac	2017-04-12	2017-04-18	Do you think the nation's economy is getting better, getting worse, or staying about the same?	Registered Voters	1062	3.0	Live Phone	Nonpartisan	None
29.0	22.0	26.0	23.0	yougov-economist-27463	YouGov/Economist	2017-04-10	2017-04-11		Adults	1500	3.2	Internet	Nonpartisan	None
25.0	22.0	15.0	37.0	yougov-economist-27419	YouGov/Economist	2017-04-02	2017-04-04		Adults	1500	3.2	Internet	Nonpartisan	None
32.0	16.0	4.0	48.0	quinnipiac-27411	Quinnipiac	2017-03-30	2017-04-03	Do you think the nation's economy is getting better, getting worse, or staying about the same?	Registered Voters	1171	2.9	Live Phone	Nonpartisan	None
24.0	21.0	14.0	40.0	yougov-economist-27378	YouGov/Economist	2017-03-26	2017-03-28		Adults	1500	3.1	Internet	Nonpartisan	None
31.0	23.0	15.0	31.0	yougov-economist-27337	YouGov/Economist	2017-03-19	2017-03-21		Adults	1500	3.3	Internet	Nonpartisan	None
40.0	16.0	4.0	39.0	quinnipiac-27340	Quinnipiac	2017-03-16	2017-03-21	Do you think the nation's economy is getting better, getting worse, or staying about the same?	Registered Voters	1056	3.0	Live Phone	Nonpartisan	None
47.0	13.0	2.0	38.0	arg-27328	ARG	2017-03-17	2017-03-20		Adults	1100	3.0	Live Phone	Nonpartisan	None
32.0	17.0	15.0	35.0	yougov-economist-27296	YouGov/Economist	2017-03-13	2017-03-14		Adults	1500	3.3	Internet	Nonpartisan	None
29.0	23.0	14.0	34.0	yougov-economist-27198	YouGov/Economist	2017-03-06	2017-03-07		Adults	1500	3.4	Internet	Nonpartisan	None
41.0	15.0	3.0	42.0	quinnipiac-27190	Quinnipiac	2017-03-01	2017-03-06	Do you think the nation's economy is getting better, getting worse, or staying about the same?	Registered Voters	1283	2.7	Live Phone	Nonpartisan	None
27.0	21.0	15.0	36.0	yougov-economist-27171	YouGov/Economist	2017-02-25	2017-03-01		Adults	1500	3.1	Internet	Nonpartisan	None
28.0	21.0	16.0	35.0	yougov-economist-27147	YouGov/Economist	2017-02-18	2017-02-22		Adults	1500	3.0	Internet	Nonpartisan	None
31.0	18.0	3.0	48.0	cbs-27149	CBS	2017-02-17	2017-02-21	Do you think the economy is getting better, getting worse, or staying about the same?	Adults	1280	3.0	Live Phone	Nonpartisan	None
37.0	15.0	2.0	46.0	quinnipiac-27143	Quinnipiac	2017-02-16	2017-02-21	Do you think the nation's economy is getting better, getting worse, or staying about the same?	Registered Voters	1323	2.7	Live Phone	Nonpartisan	None
31.0	34.0	2.0	33.0	arg-27136	ARG	2017-02-17	2017-02-20		Adults	1100	3.0	Live Phone	Nonpartisan	None
24.0	23.0	17.0	36.0	yougov-economist-27117	YouGov/Economist	2017-02-12	2017-02-14		Adults	1500	3.1	Internet	Nonpartisan	None
38.0	32.0	2.0	28.0	pew-27122	Pew	2017-02-07	2017-02-12		Adults	1503	2.9	Live Phone	Nonpartisan	None
26.0	23.0	15.0	35.0	yougov-economist-27095	YouGov/Economist	2017-02-05	2017-02-07		Adults	1500	3.2	Internet	Nonpartisan	None
25.0	25.0	19.0	31.0	yougov-economist-27071	YouGov/Economist	2017-01-28	2017-01-31		Adults	1500	3.1	Internet	Nonpartisan	None
27.0	24.0	11.0	38.0	yougov-economist-27049	YouGov/Economist	2017-01-23	2017-01-25		Adults	2692	2.3	Internet	Nonpartisan	None
33.0	30.0	2.0	35.0	arg-27037	ARG	2017-01-17	2017-01-20		Adults	1100	3.0	Live Phone	Nonpartisan	None
28.0	26.0	14.0	32.0	yougov-economist-27025	YouGov/Economist	2017-01-14	2017-01-17		Adults	1447	3.0	Internet	Nonpartisan	None
24.0	25.0	14.0	36.0	yougov-economist-26996	YouGov/Economist	2017-01-07	2017-01-10		Adults	1424	3.1	Internet	Nonpartisan	None
40.0	14.0	2.0	44.0	quinnipiac-26994	Quinnipiac	2017-01-05	2017-01-09	Do you think the nation's economy is getting better, getting worse, or staying about the same?	Registered Voters	899	3.3	Live Phone	Nonpartisan	None
25.0	26.0	12.0	36.0	yougov-economist-26972	YouGov/Economist	2016-12-31	2017-01-03		Adults	1647	3.0	Internet	Nonpartisan	None
25.0	25.0	16.0	34.0	yougov-economist-26958	YouGov/Economist	2016-12-24	2016-12-27		Adults	1662	2.9	Internet	Nonpartisan	None
33.0	30.0	1.0	36.0	arg-26946	ARG	2016-12-17	2016-12-20		Adults	1100	3.0	Live Phone	Nonpartisan	None
25.0	27.0	15.0	32.0	yougov-economist-26945	YouGov/Economist	2016-12-17	2016-12-20		Adults	1376	3.3	Internet	Nonpartisan	None
36.0	16.0	2.0	46.0	cbs-26928	CBS	2016-12-09	2016-12-13		Adults	1259	3.0	Live Phone	Nonpartisan	None
30.0	24.0	1.0	45.0	quinnipiac-26868	Quinnipiac	2016-11-17	2016-11-20	Do you think the nation's economy is getting better, getting worse, or staying about the same?	Registered Voters	1071	3.0	Live Phone	Nonpartisan	None
22.0	44.0	5.0	29.0	yougov-economist-26618	YouGov/Economist	2016-10-30	2016-11-01		Registered Voters	1388	3.0	Internet	Nonpartisan	None
24.0	42.0	6.0	28.0	yougov-economist-26504	YouGov/Economist	2016-10-22	2016-10-26		Registered Voters	1376	3.1	Internet	Nonpartisan	None
25.0	20.0	23.0	32.0	cnbc-26497	CNBC	2016-10-21	2016-10-24		Registered Voters	804	3.5	Live Phone	Nonpartisan	None
19.0	44.0	6.0	31.0	yougov-economist-26280	YouGov/Economist	2016-10-15	2016-10-18		Adults	1300	3.9	Internet	Nonpartisan	None
19.0	40.0	8.0	34.0	yougov-economist-26019	YouGov/Economist	2016-10-07	2016-10-08		Adults	1300	4.2	Internet	Nonpartisan	None
37.0	52.0	3.0	9.0	fox-25998	FOX	2016-10-03	2016-10-06		Registered Voters	1006	3.0	Live Phone	Nonpartisan	None
20.0	41.0	7.0	32.0	yougov-economist-25893	YouGov/Economist	2016-10-01	2016-10-03		Adults	1300	3.7	Internet	Nonpartisan	None
